"Review","Rating","Date","Author"
"â€œ
Nat West Bank UK decided to close my account due to Brexit because I am resident outside the UK. I had to transfer all my money out of the account before the closure date. They advised me to increase my daily limit in order to be able to transfer the money in a few days but then refused to release the first transfer payment for security issues (although they didn't contact me to tell me this or clarify it with me), I had to call them to see why there was a hold up. I was then told I needed to email proof that I wanted to transfer the money (which I did whilst still on the call). 2 days later, they still hadn't released the payment and to make it worse, they had completely locked me out of my own bank account, so I could no longer access anything, never mind transfer the remaining funds. I spent more than 2 hours on old over the course of half a day and twice they hung up on me before I had even given my name and another time in the middle of a call. 5 days later and the money has still not been transferred and they will close my account on Monday and then I will have to pay extra to get the money released on top of additional administrative expectations. They have handled this process in a hideous an unprofessional manner with little or no regard for customer assistance or care. I have been with this bank for over 30 years but I would advise anyone considering them as an option to go elsewhere. If you already bank with them - get out while the going is good. I am incredibly disappointed.
â€","1"," 7 months ago","Anonymous"
"â€œ
I have 2 complaints on going with NatWest. They should have been resolved as the first complaint went in 5th April but the second on overlapped it so they have coupled the 2 together and asked for 20 working days to resolve the complaints. However I have not heard a thing and should have all been resolved as the 20 days were up yesterday. This bank has madd me ill with stress and the igornance of my 2 complaints. So now going to financial ombudsman.
â€","1"," 7 months ago","Mrs Jennifer A Smith"
"â€œ
My 7 months pregnant daughter had to pay for her divorce of Â£30,000. She had money in different accounts and arranged to pay all the money into Natwest and do the transaction to her solicitor. We went to the bank with Â£10,000 cash, from a bond that she cashed in. She tried to pay cash in through machine, but it didn't work, meanwhile a member of staff called over from the other side of a screen, quite loudly, to pay small bundles in at a time. We gave up and went to the cashiers desk, my daughter was asked where she got the cash from, she told cashier it was a bond and the cashier asked why it wasn't paid direct into Natwest account.... Once money was paid into Natwest my daughter asked for all her money in the account to be transferred to solicitor, the cashier told her to go queue on the other side. She stood in queue for 8minutes (7months pregnant and upset to have to pay EX Â£30,000) Cashier no.2 arrived and asked my daughter again , where she got the cash from that was just paid in? my daughter answered and also told her she had just told cashier no.1. Cashier then asked who are you paying? Why are your paying? and other questions, at which point my pregnant daughter burst into tears and explained she was getting a divorce etc. She was then subjected to more questions... Then had to stand whilst we waited for Cashier no.3 to authorise the payment..... Behind us had built up quite a queue all listening to my daughters divorce issues and listening to her cry her eyes out.
Not once did anyone offer her a seat or a private room.....
I understand security checks have to be made, but surely when someone is crying the staff need to be more sensitive and at least offer a private room to finish of the transaction and at least a seat for a 7months pregnant upset woman.
â€","1"," 7 months ago","Anonymous"
"â€œ
My daughter who Banks with natwest is having serious problems getting her matured child trust fund money in cash she was asked to send proof of identity ie bank statement and birth certificate which I posted myself they sent a letter telling us that we need to send ID which we already have I am so angry I have been told not to approach people just in case I do something stupid.
â€","1"," 7 months ago","Anonymous"
"â€œ
Because I am abroad my disabled old mother with my child went to Bromley branch to arrange payments 20000 pounds 3 times and one time 6150 pounds, each day the next week. From starting the staff told that they have a customers and they do not have a time. Finally I spoken with them and I was thinking the problem is solve. No. They asking my daughter go home and do payment online. How she can do that without the machine card rider. We will lost the property because we do not have a chance to do the payment. We will lost the deposit too. One star is too much. When I come back to the UK I will close the account with them. We are with them more 20 years. Go to another bank. Why my family must to struggle now because we do not have a chance to get our money.
â€","1"," 7 months ago","Dorota Parker"
"â€œ
There app is great so easy to use and informative.
â€","5"," 8 months ago","Joanne Gregory"
"â€œ
I've been a business banking customer since I started my first business in 2014. There have been multiple issues which have this month come to a head.
In the time since 2014 Natwest have refused us an overdraft on all three occasions we took the time to try and apply through their convoluted system. During this time we have never had a loan, never defaulted on any payments, averaged between Â£20k - Â£48k turnover on a monthly basis (it's seasonal work) and run all of our utilities payments and PDQ machine takings and BACS payments through the account as well as operating our VAT account through Natwest. They did well from us in monthly fees and other additional transfer costs as we purchased from the US on many occasions.
Regardless, they seemed more than disinterested in offering us any sort of assistance in growing the business, which is disappointing and frustrating seeing as they like to promote themselves as the best bank for small businesses. I do not agree with them on this.
I have not once been able to talk to their small business representative, of which they have one person in the south west of the UK, at one point I was handed his mobile number after my frustrations became clear, he never returned a call, in 3 years. No one in branch (I tried in Chiswick where I opened the account, Bristol where the business operated from and Bath repeatedly) will discuss anything to do with small business bank accounts, other than letting you deposit cash or cheques, or take out cash and forgetting to assign references to transactions when requested, which may seem like a small error but is in-fact very important when book keeping and talking to HMRC. As any small business owner can attest to, keeping your book keeping as clear and informative as possible is a large step on the way to staying profitable.
We ended up staying with Natwest simply because I was too busy to do otherwise and it was synced with our Xero accounting and a 7-10 delay on reconciling the account would have been a difficult task to undertake during busy months.
After the lockdown affected our business ability to operate Natwest started asking us for all sorts of documents relating to our business structure, information that we did not have to provide previously but was now of utmost importance - list of directors, photo ID of directors, home address of directors, list of people with significant control, copies of DLA signed by our accountants, declaration of beneficial ownership.... We provided all of these and offered our own questions, such as why this was now necessary, why Natwest thought they had a right to our business details as they are just the bank that holds the money we have earned and what was their purpose for wanting these details. Every one of our questions went unanswered, the communication at Natwest to discuss these matters is worse than lacking it simply does not exist.
This month and without any notice or warning Natwest closed both my business current and VAT accounts, basically making it impossible for us to trade when we are legally allowed to do so again.
There is no one at the end of the phone at Natwest that can offer any assistance whatsoever with this matter. An email address does not exist, so there is conveniently no dated record of correspondence, I had to resort to (and I can't quite believe this) Facebook messenger to try and make contact, I received one reply which was deeply unhelpful and actually mostly consisted of more questions than answers, it has been two hours and I have not had an answer to my response.
I feel let down and left out to dry by the bank that I put my trust in, under their persuasion and apparent commitment to small business development. I can tell you now that this commitment they promote is a complete fabrication and the infrastructure does not exist within Natwest to help any small business grow or even stay afloat. Natwest have done more damage to us than I ever thought possible and they refuse to even discuss any of this with me.
Absolutely shocking how bad, destructive and disinterested in customer care this bank is.
â€","1"," 8 months ago","Chris"
"â€œ
Can't get in my account what a rubbish app I'm off to find another bank
â€","1"," 8 months ago","Ian"
"â€œ
After banking with Natwest for 30 years, I closed one account last year after being verbally abused and publicly humiliated by Fahim at the Streatham branch. The next time I ventured back 5 months later, I was again victimized and harassed by Kamel. I therefore tried to close my remaining account by mail as I donâ€™t feel safe going into the branch but Natwest claimed my signature did not match. I therefore reasonably asked them to confirm I would be safe from harassment if I visited the branch to close the account â€“ I asked FOUR TIMES in writing and they were unable to give me the assurance. I will now simply withdraw the funds and let natwest waste their time sending me a monthly paper statement for an account with a zero balance.
â€","1"," 9 months ago","Anonymous"
"â€œ
Terrible customer service , Theyclosed my account down without telling me . Itâ€™s been 3 weeks for them to get in touch , I have all my months wages in account so not be able to access it . No food shopping no bills been paid , they are telling me will have to wait up to 60 days to access money with no explanation. Please stay clear off this bank , I never review anything but this is just wrong doing to any human , I will make sure my message gets out this is just the start
â€","1"," 10 months ago","Anonymous"
"â€œ
The Balham branch in London are most lazy and useless and unhelpful. So my advice ..stay away.
Mt wife is Chinese and 2 times now she went in with different problems. The staff just told her to go back and do it on line. She cannot use internet easy so hence took time of work to go in. 2nd time she had to with Photo ID. Still not sorted. Terrible service. Use another bank !! We will move accounts soon.
â€","1"," 10 months ago","Robert Gareth Smart"
"â€œ
Isn't it great to see NatWest being prosecuted for breaking 'Money Laundering Regulations' after these educated idiots have spent the past few years trying to destroy their customers' businesses by implying and accusing them of 'wrong doing' and that they were 'criminals' when they themselves are the biggest criminals running the biggest 'racket'
Dump this useless bank and change to another, FAST !
â€","1"," 10 months ago","Anonymous"
"â€œ
Took out a secured business loan with NatWest to buy the freehold of my property three years ago. They did all the usual checks upon checks including my Passport, Driving licence and Utility bills.
Imagine my surprise to receive a letter from their 'Business Profile Team' on a letterhead with just their logo on and no 'NatWest'
name. Told me that they were doing a 'Business Profile' check on me to make sure everything was in accordance with the 'Financial Acts' etc and to 'Prevent Money Laundering, Crime, Evasion of Tax etc.' They asked me to send confidential documents to them via a link called 'Hooyu'. Now that sounds very 'Chinese' to me. We have been continuously told of 'fraudulent scams' and 'fraudulent activity'. So being worried, I called up my local 'Regional NatWest Business Centre' asking to speak to my 'Business Relationship Manager'. They said they had to take some 'security details' from me first. They asked me to provide my name, dob, name of business, how long I have been trading, the turnover, how many staff I employed, any other businesses I had, any overseas property I had, any other person who had 'authority' in the business etc. After I had given all the information, the guy told me they no longer have 'Business Relationship Managers' and all queries would be directed to a central line. When I told them about this 'Business Profile letter' and asked if it was 'real', the guy was very cagey and asked me to contact the number on the letter. I asked what it was about and he said to 'speak to the Business Profile team'.
When I called the number on the letter, the guy asked me the same questions, again, and unbelievably he said he couldn't find me on their 'system' !
Having taken out a big 'Business Loan' secured on my property, only three years earlier, and having provided my Passport, Driving Licence, Business Utility Bills to them in person to them to get the loan, this guy at the end of the phone said he couldn't find me !!!
The guy wanted to know how many times I had been out of the country, whether I had any businesses in any country, whether I had any properties in any country and how much I earned in the past twelve months.
I told him NatWest had all these personal and confidential details already but he still said he wanted me to to upload them onto 'Hooyu' and wanted me to send details of my accounts and a letter from my accountant. Otherwise, he would freeze my account and I wouldn't be able to pay in or withdraw my money and they would close my account if i didn't 'co-operate' !
The guy was extremely rude, unpleasant and threatening. How do you expect customers to remain with NatWest?
How can they say they can't find you on their 'system' when you have a large loan with them and with a direct debit paying them back monthly ?
I spent the following two days opening a new account with another bank. The new bank told me not to worry and they would sort everything out for me. They did that without any hassle. They transferred all the direct debits and standing orders over to the new account within three days.
Everything is great with the new bank and the 'service' is miles better than NatWest. Don't hesitate, guys ! change banks immediately, if NatWest continues to employ idiots to give you a hard time and make you out to be 'criminals', when you have done nothing wrong !
NatWest ? avoid them ! worst banking experience I have ever had and I have been in business for over forty years
â€","1"," 10 months ago","Anonymous"
"â€œ
Absolutely disgusting bank !! Not my bank but my mother's who is 78 yrs old and after spending over an hour after receiving by post (what bank still does post fgs) a code to complete online banking it gets restricted for unusual activity (deleting dd that go back 10 years from rumbelows ðŸ‘€ remember those people with there revolving credit soon to be curry's and the same robbing ba@#$@ds group 10k on insurance for washers fridges and tv's) so nat west then block the online banking !! Give up fgs I'm moving my mums account to a more up to date bank yours lives in the past and will be a thing of the past like rumbelows !
â€","1"," 10 months ago","Woods"
"â€œ
Avoid natwest mortgages if you are a single person i wanted to borrow an extra 15k bearing in mind I've been living alone paying everything for the last 6 years no they are saying I dont want enough 40k per year not enough to remortgage I've had to jump through so many hoops its unbelievable
Past 3 years p60 and the last 11months payslips is still not enough for them they want more. 2 months of my time wasted
I've come to the conclusion natwest are discriminating against single people
I'm going to nationwide only wanted3 months pay and bank statements
â€","1"," 10 months ago","Anonymous"
"â€œ
DO NOT TRUST THEM
After banking with them for 5 years, i wanted to open a business account; Once everything was uploaded via their app, after few days, I've got a message that they will block my account! I DID NOTHING WRONG! NOTHING! Who in it's right mind will treat it's own customers in such a bad manner with no reason at all? No wonder that they've got 1-2 stars reviews all over the internet!
â€","1"," 11 months ago","CK"
"â€œ
I visited NatWest bank ( Hounslow High Street branch) in December 2020 to withdraw Â£3000 cash from the counter . Although ,I showed them a valid form of an ID ,they refused to give me my money and wanted to see an invoice or a receipt ; to proof why I am taking such a large amount of payment . Horrible bank .
â€","1"," 11 months ago","Shan"
"â€œ
This is my non 5 star review ever. After 40 years of very satisfactory in branch and on line service, I get this letter from the NatWest Accounts Closure Team that all my accounts with NatWest are being closed in 60 days. No explanation.
I have only once ever gone overdrawn, got a good cash flow and Â£10,000 on account.
So I call up to find out if there is something I did wrong, see if I could rectify it, because I thought I have always been a good, satisfied client, contributing to the bank with a good cash flow, money on account and good word of mouth.
The polite answer on the phone is that the bank does not need to give any reason, she would put in an appeal. A few days later I get another letter from the Accounts Closure Team reconfirming closure.
So I find myself with the inconvenience of needing to transfer my accounts and payees to another bank and changing account details with all concerned making payments to me. Uugh.
I'm sorry, but after all my earlier praises, I find my faith broken and can no longer recommend this bank. Fortunately there is no shortage of other banks who welcomed me.
â€","1"," 11 months ago","Ingo Metzner"
"â€œ
If you have time and money to chase your money go with NatWest.
â€","1"," 11 months ago","Anonymous"
"â€œ
Ref: R-ART1853259982
I've had a personal bank account with natwest for over 12 years then 4 years ago switch my business account to make things easier.
OMG WORST MISTAKE.......NOW DUE TO COVID I have been informed that Mr Craig Piper and his so called account review have a covert and strategic way of slowly putting black business owners out of business by profiling them and disabling them by removing business accounts from the app.
They asked me for information thats is very far fetch within the time constraints then remove access to my own hard earned money. Leaving me unable to pay staff, creditors and make 2020 the worse year yet RUINING Christmas whilst they are on leave.
I regret leaving Barclays.
Please I implore you guys switch to a different bank.
I spoke to mine and other accountants who has never heard of this in their in 25 year history.
They lost over 1 billion due to fraud in covid but why attach legitimate business owners.
â€","1"," 1 year ago","Anonymous"
